序号,线路,IP,丢包,延迟,速度,带宽,Colo,时间
1,电信,172.64.155.182,0.00%,44.37ms,59.58mb/s,476.64mb,查询,2026/08/15 03:23:19
2,电信,172.64.156.9,0.00%,45.24ms,38.60mb/s,308.8mb,查询,2026/08/15 03:23:19
3,电信,172.64.146.191,0.00%,44.50ms,35.93mb/s,287.44mb,查询,2026/08/15 03:23:19
4,电信,104.18.45.92,0.00%,45.02ms,34.51mb/s,276.08mb,查询,2026/08/15 03:23:19
5,电信,104.18.39.69,0.00%,43.45ms,0.75mb/s,6mb,查询,2026/08/15 03:23:19
6,电信,172.64.159.243,0.00%,45.26ms,0.46mb/s,3.68mb,查询,2026/08/15 03:23:19
7,电信,172.64.152.193,0.00%,44.68ms,0.45mb/s,3.6mb,查询,2026/08/15 03:23:19
8,电信,172.64.145.30,0.00%,45.20ms,0.41mb/s,3.28mb,查询,2026/08/15 03:23:19
9,电信,172.64.157.44,0.00%,42.55ms,0.36mb/s,2.88mb,查询,2026/08/15 03:23:19
10,电信,172.64.144.108,0.00%,44.52ms,0.31mb/s,2.48mb,查询,2026/08/15 03:23:19
11,联通,162.159.160.85,0.00%,142.10ms,25.16mb/s,201.28mb,查询,2026/08/15 03:23:05
12,联通,104.17.137.33,0.00%,151.94ms,20.21mb/s,161.68mb,查询,2026/08/15 03:23:05
13,联通,104.17.135.219,0.00%,149.55ms,19.70mb/s,157.6mb,查询,2026/08/15 03:23:05
14,联通,104.20.21.248,0.00%,134.19ms,0.21mb/s,1.68mb,查询,2026/08/15 03:23:05
15,联通,162.159.135.251,0.00%,133.99ms,0.18mb/s,1.44mb,查询,2026/08/15 03:23:05
16,联通,162.159.128.86,0.00%,137.29ms,0.18mb/s,1.44mb,查询,2026/08/15 03:23:05
17,联通,172.67.73.213,0.00%,134.77ms,0.11mb/s,0.88mb,查询,2026/08/15 03:23:05
18,联通,162.159.137.178,0.00%,138.27ms,0.11mb/s,0.88mb,查询,2026/08/15 03:23:05
19,联通,104.26.7.142,0.00%,136.45ms,0.10mb/s,0.8mb,查询,2026/08/15 03:23:05
20,联通,162.159.148.65,0.00%,136.75ms,0.10mb/s,0.8mb,查询,2026/08/15 03:23:05
21,移动,104.25.251.213,0.00%,96.87ms,14.51mb/s,116.08mb,查询,2026/08/15 03:18:34
22,移动,104.25.250.162,0.00%,95.22ms,13.86mb/s,110.88mb,查询,2026/08/15 03:18:34
23,移动,104.25.247.110,0.00%,96.61ms,13.61mb/s,108.88mb,查询,2026/08/15 03:18:34
24,移动,162.159.82.97,0.00%,94.79ms,13.02mb/s,104.16mb,查询,2026/08/15 03:18:34
25,移动,104.25.245.74,0.00%,95.30ms,12.82mb/s,102.56mb,查询,2026/08/15 03:18:34
